Time [s],Temp [C],RH [%],h_t_w,h_m_w
972000.0,266.45,0.88,13.56,4.7131287e-08
975600.0,266.95,0.88,12.76,4.1841329e-08
979200.0,267.25,0.88,12.92,4.2975724e-08
982800.0,267.84999999999997,0.87,13.24,4.5158728e-08
986400.0,268.04999999999995,0.87,14.2,5.1684282e-08
990000.0,268.84999999999997,0.86,12.28,3.8820147e-08
993600.0,269.45,0.85,11.363,3.2739955e-08
997200.0,269.75,0.83,11.495,3.368919e-08
1000800.0,269.75,0.83,11.033,3.060066e-08
1004400.0,269.54999999999995,0.85,11.32,3.2538093e-08
1008000.0,269.34999999999997,0.87,11.495,3.369928e-08
1011600.0,269.04999999999995,0.88,11.198,3.167656e-08
1015200.0,268.45,0.89,11.264,3.2092693e-08
1018800.0,268.84999999999997,0.89,11.198,3.1591117e-08
1022400.0,269.75,0.89,11.495,3.3628638e-08
1026000.0,270.34999999999997,0.88,11.231,3.1937287e-08
1029600.0,271.04999999999995,0.86,11.96,3.6924654e-08
1033200.0,272.15,0.83,14.84,5.651922e-08
1036800.0,273.45,0.81,12.44,4.0386482e-08
1040400.0,273.15,0.84,13.88,5.0370492e-08
1044000.0,270.95,0.88,12.44,4.0506205e-08
1047600.0,270.45,0.89,11.363,3.2946179e-08
1051200.0,270.25,0.9,11.858,3.6245666e-08
1054800.0,270.15,0.9,11.429,3.332368e-08
1058400.0,270.65,0.9,11.792,3.5767144e-08
1062000.0,270.25,0.89,11.528,3.403359e-08
1065600.0,270.75,0.88,11.891,3.644714e-08
1069200.0,271.15,0.89,11.792,3.5831238e-08
1072800.0,271.25,0.88,11.561,3.4308023e-08
1076400.0,271.84999999999997,0.86,11.429,3.3423152e-08
1080000.0,272.45,0.84,12.76,4.252432e-08
1083600.0,273.15,0.85,11.462,3.3767002e-08
1087200.0,274.15,0.84,11.429,3.3611965e-08
1090800.0,274.45,0.83,11.759,3.5968231e-08
1094400.0,271.75,0.87,11.429,3.374101e-08
1098000.0,272.04999999999995,0.88,11.33,3.2800557e-08
1101600.0,272.04999999999995,0.89,11.627,3.4848501e-08
1105200.0,271.75,0.9,11.462,3.3726987e-08
1108800.0,270.95,0.91,11.759,3.5713896e-08
1112400.0,269.84999999999997,0.91,11.462,3.3616889e-08
1116000.0,269.95,0.92,11.165,3.1501166e-08
1119600.0,269.25,0.92,11.462,3.3516727e-08
1123200.0,268.75,0.93,11.462,3.3446572e-08
1126800.0,268.54999999999995,0.94,12.12,3.7825068e-08
1130400.0,268.15,0.94,11.198,3.1600614e-08
1134000.0,268.45,0.94,11.33,3.2449439e-08
1137600.0,268.75,0.95,11.396,3.2922543e-08
1141200.0,267.54999999999995,0.94,11.396,3.2952229e-08
1144800.0,267.34999999999997,0.94,11.363,3.2612139e-08
1148400.0,267.34999999999997,0.94,11.099,3.0823102e-08
1152000.0,268.45,0.95,11.48,3.3376612e-08
1155600.0,269.15,0.95,11.66,3.4697777e-08
1159200.0,269.45,0.95,13.24,4.5417639e-08
1162800.0,269.75,0.95,11.64,3.4667156e-08
1166400.0,269.95,0.95,11.32,3.2538093e-08
1170000.0,270.25,0.95,11.363,3.2848014e-08
1173600.0,270.45,0.95,12.44,4.0158785e-08
1177200.0,270.65,0.95,11.48,3.3688583e-08
1180800.0,269.65,0.95,12.92,4.3455778e-08
1184400.0,269.65,0.95,12.12,3.7927258e-08
1188000.0,270.04999999999995,0.95,12.76,4.2246377e-08
1191600.0,271.34999999999997,0.95,15.48,6.067517e-08
1195200.0,272.65,0.92,14.52,5.4399159e-08
1198800.0,273.34999999999997,0.87,18.200001,7.9667061e-08
1202400.0,273.65,0.82,18.200001,7.9832091e-08
1206000.0,274.45,0.8,18.040001,7.8810103e-08
1209600.0,274.84999999999997,0.81,18.360001,8.1186528e-08
1213200.0,274.54999999999995,0.83,21.880001,1.0540618e-07
1216800.0,274.65,0.87,19.16,8.6688331e-08
1220400.0,274.45,0.89,21.4,1.0205655e-07
1224000.0,274.54999999999995,0.9,20.76,9.7615505e-08
1227600.0,274.95,0.9,19.799999,9.1070682e-08
1231200.0,275.54999999999995,0.88,20.440001,9.5565255e-08
1234800.0,275.84999999999997,0.88,17.880001,7.8152624e-08
1238400.0,276.25,0.88,18.360001,8.1520604e-08
1242000.0,276.95,0.86,17.4,7.5009638e-08
1245600.0,276.84999999999997,0.84,18.040001,7.9576246e-08
1249200.0,276.95,0.84,19.16,8.7273975e-08
1252800.0,277.25,0.88,19.639999,9.0609348e-08
1256400.0,277.15,0.88,20.440001,9.6209931e-08
1260000.0,276.84999999999997,0.9,19.639999,9.0662155e-08
1263600.0,277.04999999999995,0.9,20.440001,9.6097885e-08
1267200.0,277.25,0.88,21.719999,1.0498296e-07
1270800.0,277.75,0.83,21.719999,1.0504412e-07
1274400.0,277.45,0.84,20.119999,9.4138173e-08
1278000.0,277.34999999999997,0.86,18.52,8.3006924e-08
1281600.0,277.15,0.87,21.880001,1.061793e-07
1285200.0,277.45,0.87,21.24,1.0170169e-07
1288800.0,277.65,0.87,22.200001,1.0842003e-07
1292400.0,278.15,0.87,21.719999,1.0516642e-07
1296000.0,278.04999999999995,0.87,23.32,1.1639091e-07
1299600.0,278.15,0.86,22.360001,1.0971607e-07
1303200.0,278.04999999999995,0.87,21.880001,1.0642642e-07
1306800.0,278.15,0.87,20.280001,9.5327081e-08
1310400.0,278.15,0.88,22.200001,1.0864075e-07
1314000.0,278.34999999999997,0.87,20.6,9.7569078e-08
1317600.0,278.15,0.88,19.32,8.8763223e-08
1321200.0,277.75,0.9,20.92,9.9783414e-08
1324800.0,277.95,0.9,18.200001,8.0867594e-08
1328400.0,278.25,0.9,19.959999,9.3086356e-08
1332000.0,278.34999999999997,0.89,19.799999,9.2059949e-08
1335600.0,278.45,0.88,19.799999,9.2086651e-08
1339200.0,278.65,0.87,19.799999,9.2113353e-08
1342800.0,278.95,0.85,17.4,7.5535155e-08
1346400.0,279.15,0.84,19.959999,9.3356562e-08
1350000.0,278.75,0.86,18.040001,8.0086046e-08
1353600.0,278.65,0.87,17.24,7.4447939e-08
1357200.0,278.25,0.88,17.24,7.4426382e-08
1360800.0,277.84999999999997,0.88,16.92,7.2125168e-08
1364400.0,277.84999999999997,0.89,17.08,7.3147675e-08
1368000.0,277.54999999999995,0.89,15.96,6.5404251e-08
1371600.0,277.65,0.9,16.92,7.1978683e-08
1375200.0,277.75,0.89,16.280001,6.7577375e-08
1378800.0,277.45,0.89,16.6,6.9808777e-08
1382400.0,277.65,0.88,14.52,5.5383989e-08
1386000.0,277.54999999999995,0.89,17.24,7.4210739e-08
1389600.0,277.25,0.89,15.48,6.2031532e-08
1393200.0,276.84999999999997,0.89,15.48,6.197741e-08
1396800.0,276.25,0.9,14.2,5.3081326e-08
1400400.0,275.95,0.91,14.84,5.7392697e-08
1404000.0,275.45,0.92,16.440001,6.8343326e-08
1407600.0,275.65,0.92,13.56,4.8470643e-08
1411200.0,275.54999999999995,0.92,13.24,4.6300787e-08
1414800.0,274.95,0.91,11.165,3.2037082e-08
1418400.0,274.84999999999997,0.93,12.6,4.1818367e-08
1422000.0,274.75,0.92,11.462,3.4006856e-08
1425600.0,274.25,0.92,11.48,3.4120198e-08
1429200.0,276.15,0.9,12.44,4.0637801e-08
1432800.0,276.25,0.85,12.44,4.0864869e-08
1436400.0,276.04999999999995,0.85,13.4,4.7483166e-08
1440000.0,275.25,0.85,14.2,5.2957496e-08
1443600.0,274.34999999999997,0.87,14.68,5.6127121e-08
1447200.0,273.34999999999997,0.89,13.56,4.8314362e-08
1450800.0,274.34999999999997,0.9,13.72,4.9263907e-08
1454400.0,273.84999999999997,0.89,14.68,5.5978962e-08
1458000.0,273.95,0.84,15.64,6.2456607e-08
1461600.0,273.65,0.82,16.6,6.9036936e-08
1465200.0,273.45,0.8,14.36,5.3678285e-08
1468800.0,272.84999999999997,0.8,17.559999,7.5487485e-08
1472400.0,273.15,0.77,18.360001,8.0804327e-08
1476000.0,272.65,0.76,16.120001,6.5600958e-08
1479600.0,271.84999999999997,0.78,14.84,5.6788316e-08
1483200.0,272.84999999999997,0.71,15.16,5.882757e-08
1486800.0,272.34999999999997,0.69,14.36,5.3551602e-08
1490400.0,272.95,0.65,14.2,5.2383896e-08
1494000.0,272.15,0.68,16.6,6.8833486e-08
1497600.0,271.95,0.7,12.76,4.2562188e-08
1501200.0,271.65,0.71,14.04,5.123459e-08
1504800.0,271.84999999999997,0.73,11.264,3.234274e-08
1508400.0,272.34999999999997,0.71,11.429,3.3482806e-08
1512000.0,275.15,0.62,11.594,3.465501e-08
1515600.0,275.75,0.6,12.76,4.2940435e-08
1519200.0,275.75,0.52,12.6,4.191654e-08
1522800.0,274.54999999999995,0.54,11.726,3.5910794e-08
1526400.0,272.95,0.61,11.759,3.6010579e-08
1530000.0,271.65,0.63,11.924,3.6965627e-08
1533600.0,270.95,0.62,12.056,3.7719619e-08
1537200.0,271.04999999999995,0.59,11.825,3.6076166e-08
1540800.0,271.45,0.57,12.617,4.1454204e-08
1544400.0,271.25,0.58,12.683,4.1951374e-08
1548000.0,271.15,0.57,12.386,3.9912493e-08
1551600.0,271.04999999999995,0.55,12.122,3.811099e-08
1555200.0,270.95,0.55,11.792,3.5863273e-08
1558800.0,269.65,0.59,11.726,3.5405453e-08
1562400.0,268.95,0.66,11.462,3.3486664e-08
1566000.0,268.65,0.69,11.33,3.2527542e-08
1569600.0,268.84999999999997,0.69,11.957,3.6716976e-08
1573200.0,269.25,0.64,11.627,3.4517324e-08
1576800.0,269.45,0.58,11.891,3.6338264e-08
1580400.0,269.45,0.56,11.891,3.6360046e-08
1584000.0,269.25,0.58,12.023,3.7250331e-08
1587600.0,269.15,0.6,12.287,3.9007517e-08
1591200.0,268.95,0.61,12.056,3.7439229e-08
1594800.0,268.84999999999997,0.56,11.561,3.4083207e-08
1598400.0,268.65,0.58,12.089,3.7627718e-08
1602000.0,268.45,0.57,12.353,3.938143e-08
1605600.0,268.75,0.55,12.386,3.9579675e-08
1609200.0,267.95,0.56,12.485,4.0281677e-08
1612800.0,267.25,0.58,12.485,4.0184887e-08
1616400.0,266.65,0.6,12.353,3.9215731e-08
1620000.0,266.25,0.63,12.221,3.8261856e-08
1623600.0,265.54999999999995,0.63,12.056,3.7113356e-08
1627200.0,264.84999999999997,0.66,11.825,3.5494818e-08
1630800.0,264.84999999999997,0.63,11.594,3.3882799e-08
1634400.0,264.65,0.63,11.891,3.5858296e-08
1638000.0,264.34999999999997,0.64,12.122,3.7372008e-08
1641600.0,264.04999999999995,0.66,11.858,3.5584495e-08
1645200.0,263.65,0.69,11.99,3.642776e-08
1648800.0,262.84999999999997,0.73,11.528,3.3321466e-08
1652400.0,263.34999999999997,0.74,11.891,3.563963e-08
1656000.0,263.45,0.75,12.221,3.7879289e-08
1659600.0,264.04999999999995,0.74,12.023,3.6579515e-08
1663200.0,264.54999999999995,0.74,11.858,3.5551903e-08
1666800.0,264.75,0.74,11.297,3.187813e-08
1670400.0,264.95,0.76,11.66,3.4311341e-08
1674000.0,264.95,0.82,11.528,3.3453986e-08
1677600.0,265.25,0.81,11.429,3.2795288e-08
1681200.0,265.65,0.83,11.33,3.2165946e-08
1684800.0,265.95,0.85,11.264,3.1765016e-08
1688400.0,266.54999999999995,0.85,11.297,3.2014196e-08
1692000.0,266.95,0.84,13.08,4.3993502e-08
1695600.0,267.15,0.84,13.72,4.8330953e-08
1699200.0,266.84999999999997,0.86,13.4,4.6216783e-08
1702800.0,266.75,0.86,11.462,3.3205776e-08
1706400.0,266.75,0.87,11.33,3.2312656e-08
1710000.0,266.84999999999997,0.87,12.6,4.0808942e-08
1713600.0,266.75,0.88,14.2,5.1528509e-08
1717200.0,266.95,0.87,11.396,3.2754194e-08
1720800.0,267.15,0.85,11.627,3.4320333e-08
1724400.0,267.25,0.83,11.66,3.4562117e-08
1728000.0,267.34999999999997,0.83,11.627,3.4351455e-08
1731600.0,267.25,0.83,11.66,3.4582996e-08
1735200.0,267.65,0.82,11.957,3.656249e-08
1738800.0,267.84999999999997,0.82,11.594,3.4171567e-08
1742400.0,268.15,0.82,11.759,3.5299692e-08
1746000.0,268.34999999999997,0.82,11.561,3.4001371e-08
1749600.0,268.65,0.82,11.561,3.4021834e-08
1753200.0,268.75,0.82,11.462,3.338641e-08
1756800.0,269.04999999999995,0.81,11.561,3.4062751e-08
1760400.0,269.34999999999997,0.81,11.627,3.4538044e-08
1764000.0,269.34999999999997,0.81,14.2,5.1917731e-08
1767600.0,269.65,0.82,16.6,6.809988e-08
1771200.0,269.84999999999997,0.81,14.84,5.6283511e-08
1774800.0,269.65,0.83,14.68,5.5236772e-08
1778400.0,269.95,0.79,13.72,4.8725052e-08
1782000.0,270.15,0.77,15.48,6.0657037e-08
